order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
1,259.0,4,2016-01-01,2016-01-03,2016-01-03,1,2
2,,4,2016-01-01,2016-01-04,2016-01-03,2,6
3,523.0,4,2016-01-02,2016-01-05,2016-01-03,2,7
4,175.0,4,2016-01-03,2016-01-04,2016-01-05,1,3
5,1324.0,4,2016-01-03,2016-01-06,2016-01-06,2,6
6,94.0,4,2016-01-04,2016-01-07,2016-01-05,2,6
7,324.0,4,2016-01-04,2016-01-07,2016-01-05,2,6
8,1204.0,4,2016-01-04,2016-01-05,2016-01-05,2,7
9,60.0,4,2016-01-05,2016-01-08,2016-01-08,1,2
10,442.0,4,2016-01-05,2016-01-06,2016-01-06,2,6
11,1326.0,4,2016-01-05,2016-01-08,2016-01-07,2,7
12,91.0,4,2016-01-06,2016-01-08,2016-01-09,1,2
13,873.0,4,2016-01-08,2016-01-11,2016-01-11,2,6
14,258.0,4,2016-01-09,2016-01-11,2016-01-12,1,3
15,450.0,4,2016-01-09,2016-01-10,2016-01-12,2,7
16,552.0,4,2016-01-12,2016-01-15,2016-01-15,1,3
17,1175.0,4,2016-01-12,2016-01-14,2016-01-14,1,3
18,541.0,4,2016-01-14,2016-01-17,2016-01-15,1,3
19,696.0,4,2016-01-14,2016-01-17,2016-01-16,1,2
20,923.0,4,2016-01-14,2016-01-16,2016-01-17,1,2
21,1250.0,4,2016-01-15,2016-01-16,2016-01-18,2,6
22,1035.0,4,2016-01-16,2016-01-18,2016-01-17,1,2
23,1149.0,4,2016-01-16,2016-01-19,2016-01-19,1,2
24,636.0,4,2016-01-18,2016-01-20,2016-01-19,2,7
25,657.0,4,2016-01-18,2016-01-21,2016-01-21,2,6
26,1280.0,4,2016-01-18,2016-01-21,2016-01-19,2,7
27,57.0,4,2016-01-19,2016-01-21,2016-01-20,2,7
28,252.0,4,2016-01-19,2016-01-20,2016-01-21,2,6
29,437.0,4,2016-01-20,2016-01-22,2016-01-21,2,6
30,1348.0,4,2016-01-20,2016-01-21,2016-01-21,2,6
31,1238.0,4,2016-01-20,2016-01-22,2016-01-22,3,8
32,1259.0,4,2016-01-21,2016-01-24,2016-01-22,1,3
33,236.0,4,2016-01-21,2016-01-22,2016-01-22,2,6
34,80.0,4,2016-01-22,2016-01-25,2016-01-23,2,6
35,813.0,4,2016-01-22,2016-01-25,2016-01-24,2,7
36,1321.0,4,2016-01-23,2016-01-24,2016-01-24,2,6
37,164.0,4,2016-01-25,2016-01-28,2016-01-26,2,6
38,583.0,4,2016-01-25,2016-01-27,2016-01-26,2,7
39,1296.0,4,2016-01-25,2016-01-26,2016-01-26,2,7
40,348.0,4,2016-01-27,2016-01-28,2016-01-29,1,3
41,979.0,4,2016-01-27,2016-01-30,2016-01-29,2,6
42,1095.0,4,2016-01-27,2016-01-28,2016-01-30,2,7
43,1434.0,4,2016-01-27,2016-01-28,2016-01-30,2,7
44,861.0,4,2016-01-28,2016-01-31,2016-01-30,2,7
45,1220.0,4,2016-01-28,2016-01-31,2016-01-31,2,7
46,746.0,4,2016-01-29,2016-01-31,2016-01-31,2,7
47,1234.0,4,2016-01-29,2016-01-30,2016-01-31,2,7
48,1012.0,4,2016-01-30,2016-02-01,2016-02-02,2,7
49,608.0,4,2016-01-31,2016-02-01,2016-02-02,2,6
50,872.0,4,2016-01-31,2016-02-03,2016-02-02,3,8
51,1047.0,4,2016-02-01,2016-02-02,2016-02-03,2,7
52,767.0,4,2016-02-03,2016-02-04,2016-02-05,1,2
53,965.0,4,2016-02-03,2016-02-04,2016-02-05,2,6
54,535.0,4,2016-02-04,2016-02-07,2016-02-07,2,7
55,1173.0,4,2016-02-04,2016-02-07,2016-02-06,2,6
56,1241.0,4,2016-02-04,2016-02-06,2016-02-07,2,6
57,1305.0,4,2016-02-04,2016-02-06,2016-02-06,2,7
58,504.0,4,2016-02-05,2016-02-07,2016-02-07,2,6
59,563.0,4,2016-02-05,2016-02-07,2016-02-06,2,7
60,151.0,4,2016-02-06,2016-02-08,2016-02-07,1,3
61,277.0,4,2016-02-06,2016-02-09,2016-02-09,2,7
62,208.0,4,2016-02-07,2016-02-10,2016-02-10,1,2
63,1075.0,4,2016-02-07,2016-02-09,2016-02-09,2,7
64,1185.0,4,2016-02-07,2016-02-08,2016-02-09,2,6
65,996.0,4,2016-02-08,2016-02-09,2016-02-11,2,6
66,1253.0,4,2016-02-09,2016-02-12,2016-02-12,2,7
67,526.0,4,2016-02-09,2016-02-11,2016-02-10,3,8
68,381.0,4,2016-02-10,2016-02-11,2016-02-13,2,6
69,1413.0,4,2016-02-10,2016-02-12,2016-02-11,2,7
70,50.0,3,2016-02-11,2016-02-11,,3,9
71,797.0,4,2016-02-11,2016-02-14,2016-02-12,2,7
72,1386.0,4,2016-02-12,2016-02-15,2016-02-13,1,2
73,612.0,4,2016-02-12,2016-02-15,2016-02-14,2,7
74,264.0,4,2016-02-13,2016-02-15,2016-02-15,2,7
75,587.0,4,2016-02-14,2016-02-15,2016-02-17,2,6
76,9.0,3,2016-02-16,2016-02-16,,2,6
77,385.0,4,2016-02-16,2016-02-19,2016-02-19,1,2
78,1182.0,4,2016-02-16,2016-02-18,2016-02-19,2,7
79,529.0,4,2016-02-17,2016-02-20,2016-02-20,1,3
80,397.0,4,2016-02-17,2016-02-20,2016-02-19,2,6
81,521.0,4,2016-02-17,2016-02-19,2016-02-18,2,6
82,1223.0,4,2016-02-18,2016-02-21,2016-02-20,2,6
83,393.0,4,2016-02-19,2016-02-20,2016-02-20,1,3
84,317.0,4,2016-02-20,2016-02-22,2016-02-21,2,7
85,1174.0,4,2016-02-20,2016-02-23,2016-02-21,2,7
86,276.0,4,2016-02-21,2016-02-22,2016-02-23,2,7
87,516.0,4,2016-02-21,2016-02-22,2016-02-23,2,6
88,1069.0,4,2016-02-21,2016-02-22,2016-02-23,2,6
89,668.0,4,2016-02-21,2016-02-24,2016-02-24,3,8
90,414.0,4,2016-02-23,2016-02-25,2016-02-24,2,7
91,648.0,4,2016-02-25,2016-02-27,2016-02-28,1,2
92,1309.0,4,2016-02-25,2016-02-28,2016-02-28,2,7
93,1328.0,4,2016-02-26,2016-02-28,2016-02-27,1,3
94,929.0,4,2016-02-27,2016-02-28,2016-02-29,1,2
95,218.0,4,2016-02-27,2016-02-29,2016-02-28,2,7
96,1094.0,4,2016-02-27,2016-02-29,2016-02-28,2,7
97,204.0,4,2016-02-28,2016-02-29,2016-03-01,2,7
98,1194.0,4,2016-02-28,2016-02-29,2016-02-29,2,6
99,1165.0,4,2016-02-29,2016-03-01,2016-03-03,3,9
100,1237.0,4,2016-03-01,2016-03-04,2016-03-03,2,7
101,271.0,4,2016-03-01,2016-03-04,2016-03-04,3,8
102,336.0,4,2016-03-02,2016-03-05,2016-03-03,2,7
103,991.0,4,2016-03-03,2016-03-06,2016-03-05,1,2
104,7.0,4,2016-03-03,2016-03-05,2016-03-05,2,7
105,306.0,4,2016-03-03,2016-03-05,2016-03-04,2,7
106,422.0,4,2016-03-04,2016-03-05,2016-03-05,3,9
107,633.0,4,2016-03-06,2016-03-09,2016-03-09,1,2
108,12.0,4,2016-03-06,2016-03-09,2016-03-07,2,6
109,1255.0,4,2016-03-06,2016-03-09,2016-03-09,2,6
110,677.0,4,2016-03-06,2016-03-08,2016-03-09,3,9
111,630.0,4,2016-03-07,2016-03-10,2016-03-10,2,6
112,469.0,4,2016-03-08,2016-03-11,2016-03-10,2,6
113,1078.0,4,2016-03-08,2016-03-11,2016-03-11,2,6
114,1431.0,4,2016-03-08,2016-03-10,2016-03-11,2,7
115,1369.0,4,2016-03-09,2016-03-11,2016-03-11,2,7
116,471.0,4,2016-03-10,2016-03-11,2016-03-11,2,7
117,740.0,4,2016-03-10,2016-03-13,2016-03-11,2,6
118,577.0,4,2016-03-12,2016-03-14,2016-03-13,1,2
119,925.0,4,2016-03-12,2016-03-14,2016-03-14,2,7
120,327.0,4,2016-03-14,2016-03-15,2016-03-17,2,7
121,755.0,4,2016-03-14,2016-03-15,2016-03-16,2,6
122,786.0,4,2016-03-14,2016-03-16,2016-03-15,2,6
123,766.0,4,2016-03-15,2016-03-18,2016-03-17,2,6
124,403.0,4,2016-03-16,2016-03-18,2016-03-17,1,3
125,685.0,4,2016-03-16,2016-03-19,2016-03-17,2,6
126,1365.0,4,2016-03-16,2016-03-18,2016-03-18,2,7
127,484.0,4,2016-03-17,2016-03-18,2016-03-19,3,8
128,86.0,4,2016-03-18,2016-03-20,2016-03-21,2,6
129,84.0,4,2016-03-19,2016-03-21,2016-03-21,2,7
130,1049.0,4,2016-03-19,2016-03-22,2016-03-20,2,6
131,316.0,4,2016-03-19,2016-03-22,2016-03-20,3,8
132,46.0,4,2016-03-20,2016-03-22,2016-03-23,1,3
133,409.0,4,2016-03-20,2016-03-22,2016-03-21,2,7
134,679.0,4,2016-03-20,2016-03-21,2016-03-21,2,7
135,1354.0,4,2016-03-21,2016-03-23,2016-03-23,2,7
136,1192.0,4,2016-03-21,2016-03-24,2016-03-23,3,8
137,370.0,4,2016-03-23,2016-03-26,2016-03-25,2,7
138,438.0,4,2016-03-23,2016-03-24,2016-03-25,2,7
139,710.0,4,2016-03-23,2016-03-24,2016-03-26,2,7
140,1264.0,4,2016-03-23,2016-03-26,2016-03-26,2,7
141,557.0,4,2016-03-25,2016-03-27,2016-03-26,2,7
142,170.0,4,2016-03-26,2016-03-27,2016-03-27,1,3
143,693.0,4,2016-03-26,2016-03-28,2016-03-28,2,7
144,1124.0,4,2016-03-26,2016-03-29,2016-03-29,2,7
145,366.0,4,2016-03-27,2016-03-29,2016-03-30,2,6
146,288.0,4,2016-03-28,2016-03-30,2016-03-30,1,3
147,55.0,4,2016-03-28,2016-03-31,2016-03-31,2,7
148,714.0,4,2016-03-28,2016-03-30,2016-03-30,2,6
149,763.0,4,2016-03-28,2016-03-30,2016-03-29,2,6
150,332.0,4,2016-03-29,2016-03-31,2016-04-01,1,2
151,926.0,4,2016-03-29,2016-04-01,2016-03-31,1,2
152,76.0,4,2016-03-29,2016-03-30,2016-03-30,2,6
153,498.0,4,2016-03-30,2016-04-02,2016-04-01,2,6
154,1286.0,4,2016-03-31,2016-04-01,2016-04-01,1,2
155,371.0,4,2016-04-02,2016-04-03,2016-04-04,2,6
156,357.0,4,2016-04-03,2016-04-06,2016-04-05,1,3
157,43.0,4,2016-04-03,2016-04-06,2016-04-06,3,8
158,117.0,3,2016-04-04,2016-04-04,,3,9
159,32.0,4,2016-04-04,2016-04-06,2016-04-06,1,2
160,205.0,4,2016-04-04,2016-04-06,2016-04-06,2,7
161,251.0,4,2016-04-04,2016-04-07,2016-04-05,2,7
162,31.0,4,2016-04-06,2016-04-08,2016-04-07,1,3
163,1325.0,4,2016-04-06,2016-04-07,2016-04-07,2,7
164,610.0,4,2016-04-07,2016-04-08,2016-04-09,2,7
165,574.0,4,2016-04-08,2016-04-10,2016-04-10,1,3
166,338.0,4,2016-04-08,2016-04-11,2016-04-11,2,6
167,1034.0,4,2016-04-08,2016-04-09,2016-04-11,2,7
168,1147.0,4,2016-04-09,2016-04-12,2016-04-11,1,3
169,99.0,4,2016-04-10,2016-04-11,2016-04-11,2,7
170,1200.0,4,2016-04-10,2016-04-11,2016-04-13,2,7
171,237.0,4,2016-04-11,2016-04-14,2016-04-14,1,3
172,1079.0,4,2016-04-11,2016-04-12,2016-04-14,2,7
173,117.0,4,2016-04-11,2016-04-14,2016-04-13,3,8
174,1361.0,4,2016-04-12,2016-04-13,2016-04-15,2,7
175,951.0,4,2016-04-13,2016-04-14,2016-04-14,2,6
176,643.0,4,2016-04-15,2016-04-16,2016-04-17,2,7
177,121.0,4,2016-04-16,2016-04-19,2016-04-19,1,2
178,756.0,4,2016-04-16,2016-04-17,2016-04-18,2,6
179,616.0,4,2016-04-17,2016-04-19,2016-04-19,2,6
180,918.0,4,2016-04-17,2016-04-20,2016-04-19,2,7
181,459.0,4,2016-04-18,2016-04-20,2016-04-20,1,3
182,854.0,4,2016-04-18,2016-04-19,2016-04-20,2,6
183,22.0,4,2016-04-19,2016-04-20,2016-04-20,2,7
184,134.0,4,2016-04-19,2016-04-21,2016-04-22,2,7
185,24.0,3,2016-04-20,2016-04-20,,1,2
186,1127.0,4,2016-04-21,2016-04-22,2016-04-24,2,6
187,183.0,4,2016-04-22,2016-04-23,2016-04-24,2,6
188,390.0,4,2016-04-22,2016-04-23,2016-04-25,2,6
189,1288.0,4,2016-04-23,2016-04-24,2016-04-26,1,2
190,98.0,4,2016-04-23,2016-04-25,2016-04-25,2,6
191,919.0,4,2016-04-27,2016-04-28,2016-04-28,1,2
192,728.0,4,2016-04-27,2016-04-28,2016-04-29,2,7
193,1366.0,4,2016-04-28,2016-04-30,2016-04-30,1,3
194,558.0,4,2016-04-28,2016-04-30,2016-05-01,2,7
195,727.0,4,2016-04-28,2016-05-01,2016-05-01,2,7
196,1247.0,4,2016-04-28,2016-04-30,2016-05-01,2,6
197,127.0,4,2016-04-30,2016-05-03,2016-05-03,2,7
198,640.0,4,2016-05-01,2016-05-04,2016-05-03,2,6
199,760.0,4,2016-05-01,2016-05-04,2016-05-04,2,7
200,1074.0,4,2016-05-01,2016-05-03,2016-05-03,2,6
201,280.0,4,2016-05-01,2016-05-04,2016-05-02,3,9
202,600.0,4,2016-05-03,2016-05-05,2016-05-04,1,2
203,1102.0,4,2016-05-03,2016-05-05,2016-05-06,3,9
204,591.0,4,2016-05-04,2016-05-07,2016-05-06,2,7
205,635.0,4,2016-05-04,2016-05-05,2016-05-06,2,6
206,743.0,4,2016-05-04,2016-05-06,2016-05-05,3,9
207,105.0,4,2016-05-05,2016-05-07,2016-05-07,2,7
208,815.0,4,2016-05-06,2016-05-07,2016-05-09,2,7
209,514.0,4,2016-05-07,2016-05-08,2016-05-08,2,6
210,943.0,4,2016-05-07,2016-05-08,2016-05-09,2,6
211,1140.0,4,2016-05-07,2016-05-09,2016-05-08,2,6
212,1373.0,4,2016-05-08,2016-05-09,2016-05-11,2,6
213,788.0,4,2016-05-08,2016-05-09,2016-05-09,3,8
214,363.0,4,2016-05-10,2016-05-12,2016-05-11,2,6
215,1420.0,4,2016-05-10,2016-05-13,2016-05-12,2,7
216,267.0,4,2016-05-11,2016-05-14,2016-05-13,1,3
217,716.0,4,2016-05-11,2016-05-12,2016-05-14,2,7
218,1179.0,4,2016-05-12,2016-05-14,2016-05-14,2,7
219,1338.0,4,2016-05-12,2016-05-15,2016-05-15,2,6
220,1358.0,4,2016-05-12,2016-05-14,2016-05-15,2,6
221,1218.0,4,2016-05-13,2016-05-16,2016-05-14,1,2
222,51.0,4,2016-05-13,2016-05-16,2016-05-14,2,6
223,1368.0,4,2016-05-15,2016-05-16,2016-05-17,2,7
224,157.0,4,2016-05-17,2016-05-18,2016-05-19,1,3
225,307.0,4,2016-05-17,2016-05-20,2016-05-19,1,3
226,501.0,4,2016-05-17,2016-05-19,2016-05-20,1,2
227,489.0,4,2016-05-17,2016-05-18,2016-05-20,2,7
228,615.0,4,2016-05-17,2016-05-20,2016-05-20,2,7
229,742.0,4,2016-05-19,2016-05-21,2016-05-20,2,6
230,1167.0,4,2016-05-19,2016-05-20,2016-05-21,2,6
231,1257.0,4,2016-05-19,2016-05-22,2016-05-21,2,6
232,1360.0,4,2016-05-20,2016-05-23,2016-05-23,1,3
233,737.0,4,2016-05-21,2016-05-22,2016-05-24,2,6
234,1435.0,4,2016-05-22,2016-05-24,2016-05-24,2,6
235,649.0,4,2016-05-24,2016-05-25,2016-05-25,2,6
236,206.0,4,2016-05-25,2016-05-27,2016-05-26,2,6
237,1351.0,4,2016-05-25,2016-05-26,2016-05-27,2,7
238,1350.0,4,2016-05-26,2016-05-29,2016-05-29,2,6
239,13.0,3,2016-05-27,2016-05-27,,3,9
240,65.0,4,2016-05-27,2016-05-29,2016-05-30,2,6
241,1082.0,4,2016-05-27,2016-05-29,2016-05-29,2,7
242,1168.0,4,2016-05-27,2016-05-30,2016-05-30,2,7
243,802.0,4,2016-05-27,2016-05-30,2016-05-28,3,8
244,956.0,4,2016-05-28,2016-05-29,2016-05-29,2,6
245,223.0,4,2016-05-29,2016-05-31,2016-05-30,2,7
246,17.0,3,2016-05-30,2016-05-30,,2,6
247,928.0,4,2016-05-30,2016-06-01,2016-06-01,1,3
248,1376.0,4,2016-05-30,2016-06-01,2016-05-31,2,7
249,145.0,4,2016-06-01,2016-06-04,2016-06-04,2,6
250,150.0,4,2016-06-01,2016-06-02,2016-06-04,2,7
251,851.0,4,2016-06-01,2016-06-04,2016-06-04,2,7
252,66.0,4,2016-06-01,2016-06-04,2016-06-02,3,8
253,1267.0,4,2016-06-02,2016-06-05,2016-06-05,2,6
254,510.0,4,2016-06-03,2016-06-06,2016-06-05,2,7
255,801.0,4,2016-06-03,2016-06-06,2016-06-05,2,7
256,26.0,4,2016-06-04,2016-06-05,2016-06-07,2,7
257,1314.0,4,2016-06-05,2016-06-06,2016-06-08,1,3
258,107.0,4,2016-06-06,2016-06-07,2016-06-07,2,7
259,413.0,4,2016-06-06,2016-06-09,2016-06-09,2,7
260,632.0,4,2016-06-06,2016-06-08,2016-06-08,2,6
261,1045.0,4,2016-06-08,2016-06-10,2016-06-09,1,2
262,579.0,4,2016-06-08,2016-06-11,2016-06-10,3,9
263,1322.0,4,2016-06-09,2016-06-10,2016-06-12,2,6
264,5.0,3,2016-06-10,2016-06-10,,1,3
265,682.0,4,2016-06-10,2016-06-12,2016-06-11,2,7
266,933.0,4,2016-06-10,2016-06-13,2016-06-13,2,7
267,282.0,4,2016-06-11,2016-06-14,2016-06-14,1,3
268,540.0,4,2016-06-11,2016-06-14,2016-06-12,1,3
269,764.0,4,2016-06-12,2016-06-13,2016-06-15,2,6
270,879.0,4,2016-06-12,2016-06-15,2016-06-13,2,7
271,350.0,4,2016-06-13,2016-06-16,2016-06-14,2,7
272,497.0,4,2016-06-15,2016-06-18,2016-06-16,2,7
273,1340.0,4,2016-06-16,2016-06-19,2016-06-17,2,7
274,411.0,4,2016-06-17,2016-06-20,2016-06-18,2,7
275,1341.0,4,2016-06-17,2016-06-19,2016-06-18,2,7
276,1227.0,4,2016-06-18,2016-06-19,2016-06-19,2,6
277,546.0,4,2016-06-19,2016-06-20,2016-06-20,2,7
278,1301.0,4,2016-06-20,2016-06-23,2016-06-21,1,3
279,378.0,4,2016-06-21,2016-06-22,2016-06-22,2,6
280,638.0,4,2016-06-21,2016-06-22,2016-06-23,2,7
281,800.0,4,2016-06-21,2016-06-22,2016-06-23,2,7
282,159.0,4,2016-06-22,2016-06-25,2016-06-25,3,9
283,181.0,4,2016-06-23,2016-06-26,2016-06-26,1,2
284,1356.0,4,2016-06-23,2016-06-25,2016-06-25,2,7
285,319.0,4,2016-06-25,2016-06-26,2016-06-27,1,2
286,59.0,4,2016-06-25,2016-06-26,2016-06-26,2,6
287,133.0,4,2016-06-25,2016-06-26,2016-06-27,2,6
288,780.0,4,2016-06-25,2016-06-28,2016-06-28,2,6
289,849.0,4,2016-06-27,2016-06-28,2016-06-30,2,6
290,202.0,4,2016-06-28,2016-06-29,2016-06-30,2,6
291,158.0,4,2016-06-29,2016-06-30,2016-07-01,2,6
292,360.0,4,2016-06-29,2016-06-30,2016-07-02,3,9
293,573.0,4,2016-06-30,2016-07-03,2016-07-02,2,7
294,732.0,4,2016-07-01,2016-07-02,2016-07-02,2,7
295,1130.0,4,2016-07-01,2016-07-04,2016-07-04,2,7
296,1245.0,4,2016-07-04,2016-07-07,2016-07-06,2,6
297,1425.0,4,2016-07-04,2016-07-05,2016-07-06,2,7
298,885.0,4,2016-07-04,2016-07-07,2016-07-07,3,9
299,281.0,4,2016-07-05,2016-07-06,2016-07-07,2,6
300,1205.0,4,2016-07-05,2016-07-08,2016-07-08,2,6
301,17.0,4,2016-07-06,2016-07-09,2016-07-08,2,6
302,1375.0,4,2016-07-06,2016-07-07,2016-07-09,2,6
303,36.0,4,2016-07-07,2016-07-08,2016-07-09,2,7
304,230.0,4,2016-07-07,2016-07-08,2016-07-08,2,6
305,705.0,4,2016-07-07,2016-07-08,2016-07-08,2,7
306,424.0,4,2016-07-09,2016-07-10,2016-07-12,2,7
307,695.0,4,2016-07-09,2016-07-11,2016-07-11,2,6
308,156.0,4,2016-07-11,2016-07-12,2016-07-14,2,6
309,211.0,4,2016-07-11,2016-07-13,2016-07-13,2,6
310,627.0,4,2016-07-12,2016-07-13,2016-07-13,1,2
311,1400.0,4,2016-07-12,2016-07-14,2016-07-13,2,6
312,299.0,4,2016-07-13,2016-07-15,2016-07-16,2,6
313,565.0,4,2016-07-14,2016-07-15,2016-07-15,3,9
314,1019.0,4,2016-07-15,2016-07-17,2016-07-17,2,7
315,1263.0,4,2016-07-16,2016-07-19,2016-07-17,2,6
316,670.0,4,2016-07-17,2016-07-20,2016-07-19,2,7
317,795.0,4,2016-07-17,2016-07-20,2016-07-19,2,7
318,1141.0,4,2016-07-17,2016-07-19,2016-07-20,2,7
319,941.0,4,2016-07-18,2016-07-21,2016-07-21,2,6
320,1428.0,4,2016-07-19,2016-07-20,2016-07-21,1,2
